Date,Close
1/3/2023 17:00:00,340
1/4/2023 17:00:00,357
1/5/2023 17:00:00,354
1/6/2023 17:00:00,371
1/9/2023 17:00:00,375
1/10/2023 17:00:00,379
1/11/2023 17:00:00,371
1/12/2023 17:00:00,369
1/13/2023 17:00:00,385
1/16/2023 17:00:00,383
1/17/2023 17:00:00,379
1/18/2023 17:00:00,380
1/19/2023 17:00:00,372
1/20/2023 17:00:00,375
1/23/2023 17:00:00,384
1/24/2023 17:00:00,386
1/25/2023 17:00:00,384
1/26/2023 17:00:00,390
1/27/2023 17:00:00,393
1/30/2023 17:00:00,369
1/31/2023 17:00:00,353
2/1/2023 17:00:00,357
2/2/2023 17:00:00,355
2/3/2023 17:00:00,351
2/6/2023 17:00:00,345
2/7/2023 17:00:00,344
2/8/2023 17:00:00,350
2/9/2023 17:00:00,347
2/10/2023 17:00:00,341
2/13/2023 17:00:00,325
2/14/2023 17:00:00,326
2/15/2023 17:00:00,317
2/16/2023 17:00:00,322
2/17/2023 17:00:00,320
2/20/2023 17:00:00,325
2/21/2023 17:00:00,330
2/22/2023 17:00:00,310
2/23/2023 17:00:00,310
2/24/2023 17:00:00,298
2/27/2023 17:00:00,296
2/28/2023 17:00:00,304
3/1/2023 17:00:00,313
3/2/2023 17:00:00,304
3/3/2023 17:00:00,316
3/6/2023 17:00:00,314
3/7/2023 17:00:00,305
3/8/2023 17:00:00,302
3/9/2023 17:00:00,290
3/10/2023 17:00:00,293
3/13/2023 17:00:00,324
3/14/2023 17:00:00,315
3/15/2023 17:00:00,328
3/16/2023 17:00:00,319
3/17/2023 17:00:00,320
3/20/2023 17:00:00,340
3/22/2023 17:00:00,340
3/23/2023 17:00:00,351
3/24/2023 17:00:00,361
3/27/2023 17:00:00,357
3/28/2023 17:00:00,362
3/29/2023 17:00:00,366
3/30/2023 17:00:00,374
3/31/2023 17:00:00,368
4/3/2023 17:00:00,360
4/4/2023 17:00:00,391
4/5/2023 17:00:00,390
4/6/2023 17:00:00,393
4/11/2023 17:00:00,398
4/12/2023 17:00:00,406
4/13/2023 17:00:00,431
4/14/2023 17:00:00,421
4/17/2023 17:00:00,424
4/18/2023 17:00:00,440
4/19/2023 17:00:00,430
4/20/2023 17:00:00,430
4/21/2023 17:00:00,420
4/24/2023 17:00:00,422
4/25/2023 17:00:00,412
4/26/2023 17:00:00,419
4/28/2023 17:00:00,411
5/2/2023 17:00:00,417
5/3/2023 17:00:00,433
5/4/2023 17:00:00,480
5/5/2023 17:00:00,466
5/8/2023 17:00:00,465
5/9/2023 17:00:00,459
5/10/2023 17:00:00,462
5/11/2023 17:00:00,443
5/12/2023 17:00:00,447
5/15/2023 17:00:00,443
5/16/2023 17:00:00,435
5/17/2023 17:00:00,428
5/18/2023 17:00:00,412
5/19/2023 17:00:00,405
5/22/2023 17:00:00,404
5/23/2023 17:00:00,405
5/24/2023 17:00:00,407
5/25/2023 17:00:00,405
5/26/2023 17:00:00,319
5/29/2023 17:00:00,339
5/30/2023 17:00:00,330
5/31/2023 17:00:00,336
6/1/2023 17:00:00,349
6/2/2023 17:00:00,349
6/5/2023 17:00:00,330
6/6/2023 17:00:00,323
6/7/2023 17:00:00,321
6/8/2023 17:00:00,319
6/9/2023 17:00:00,315
6/12/2023 17:00:00,312
6/13/2023 17:00:00,315
6/14/2023 17:00:00,308
6/15/2023 17:00:00,301
6/19/2023 17:00:00,313
6/20/2023 17:00:00,300
6/21/2023 17:00:00,300
6/22/2023 17:00:00,288
6/23/2023 17:00:00,303
6/26/2023 17:00:00,311
6/27/2023 17:00:00,293
6/28/2023 17:00:00,298
6/29/2023 17:00:00,296
6/30/2023 17:00:00,303
7/3/2023 17:00:00,307
7/4/2023 17:00:00,307
7/5/2023 17:00:00,305
7/6/2023 17:00:00,296
7/7/2023 17:00:00,299
7/10/2023 17:00:00,300
7/11/2023 17:00:00,309
7/12/2023 17:00:00,322
7/13/2023 17:00:00,313
7/14/2023 17:00:00,320
7/17/2023 17:00:00,320
7/18/2023 17:00:00,326
7/19/2023 17:00:00,325
7/20/2023 17:00:00,334
7/21/2023 17:00:00,335
7/24/2023 17:00:00,330
